publish_time,now_rank,fanghao,share,danmaku,aid,coin,his_rank,tminfo,title,url,favorite,reply,view
2016-09-14 17:14,1,nil,9513,16258,6274082,64722,58,音乐,【排骨】长生诀，原唱才听了一千多遍就关了,http://www.bilibili.com/video/av6274082,86578,10078,1171448
2016-09-06 00:30,0,6171128,612,25584,6171128,3963,0,番剧,路人超能100(灵能百分百) : 第9集 “爪” ～第7支部～,http://www.bilibili.com/video/av6171128,796,4782,1187691
2016-09-02 08:33,0,nil,2388,8312,6121473,21012,15,游戏,【老E】有趣的游戏BUG合集06,http://www.bilibili.com/video/av6121473,10781,2860,1159991
2016-09-20 00:30,0,6345621,763,31825,6345621,4756,0,番剧,路人超能100(灵能百分百) : 第11集 师傅 ～Leader～,http://www.bilibili.com/video/av6345621,907,9128,1150181
2016-09-01 19:30,0,nil,804,42609,6115075,3312,0,番剧,【1月】火影忍者 疾风传 694,http://www.bilibili.com/video/av6115075,1035,3836,1140706
2016-09-16 10:44,0,nil,1610,49081,6298708,12163,0,番剧,狐妖小红娘 40 繁花尽放 为爱远走,http://www.bilibili.com/video/av6298708,1860,9767,1133259
2016-09-16 08:00,0,6292084,265,8577,6292084,1869,0,番剧,齐木楠雄的灾难（日播版） : 第55集 齐木楠雄的♀难,http://www.bilibili.com/video/av6292084,384,3573,1142149
2016-09-27 00:30,0,6429835,1167,39817,6429835,5806,0,番剧,路人超能100(灵能百分百) : 第12集 龙套与灵幻 ～巨大土龙出现之篇～,http://www.bilibili.com/video/av6429835,843,6049,1120384
2016-09-30 10:09,0,nil,342,27956,6466045,2430,0,番剧,镇魂街 21 破竹之势,http://www.bilibili.com/video/av6466045,543,3486,1117888
2016-09-23 09:45,0,nil,409,26507,6380368,3244,0,番剧,镇魂街 20 背水一战,http://www.bilibili.com/video/av6380368,440,3557,1108702
2016-09-30 08:00,0,6460421,293,5952,6460421,1875,0,番剧,齐木楠雄的灾难（日播版） : 第65集 再见！冲绳修学旅行,http://www.bilibili.com/video/av6460421,313,2851,1119338
2016-09-02 08:00,0,6116035,224,5879,6116035,1285,0,番剧,齐木楠雄的灾难（日播版） : 第45集 目良同学的财政情况,http://www.bilibili.com/video/av6116035,322,2982,1114808
2016-09-29 23:47,0,nil,395,6754,6463773,5775,40,游戏,【主播真会玩】58：深夜福利！嫖老师的第一次？！,http://www.bilibili.com/video/av6463773,1824,1452,1089191
